Domain,Area,Element,Item,Year,Unit,Value
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1991,hg/ha,11396.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1992,hg/ha,11250.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1993,hg/ha,11543.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1994,hg/ha,11397.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1995,hg/ha,11261.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1996,hg/ha,11533.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1997,hg/ha,11397.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1998,hg/ha,11492.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",1999,hg/ha,11295.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2000,hg/ha,11538.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2001,hg/ha,11566.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2002,hg/ha,11509.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2003,hg/ha,11457.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2004,hg/ha,11412.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2005,hg/ha,11372.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2006,hg/ha,11339.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2007,hg/ha,11311.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2008,hg/ha,11290.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2009,hg/ha,11589.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2010,hg/ha,11572.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2011,hg/ha,11562.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2012,hg/ha,11538.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2013,hg/ha,11364.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2014,hg/ha,12092.0
Crops,Kenya,Yield,"Abaca, manila hemp, raw",2015,hg/ha,12081.0
