Indicator,Country,ADM1_CODE,Province,Land_Type,Date,Data,Data_long_term_Average,Year,Month,Dekad,Unit,Source
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-01-01,0.696,0.753, 1984,01,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-01-11,0.687,0.735, 1984,01,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-01-21,0.667,0.708, 1984,01,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-02-01,0.668,0.697, 1984,02,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-02-11,0.658,0.672, 1984,02,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-02-21,0.636,0.65, 1984,02,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-03-01,0.605,0.636, 1984,03,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-03-11,0.539,0.61, 1984,03,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-03-21,0.467,0.589, 1984,03,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-04-01,0.44,0.594, 1984,04,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-04-11,0.43,0.594, 1984,04,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-04-21,0.472,0.622, 1984,04,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-05-01,0.568,0.673, 1984,05,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-05-11,0.615,0.708, 1984,05,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-05-21,0.685,0.73, 1984,05,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-06-01,0.676,0.731, 1984,06,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-06-11,0.635,0.696, 1984,06,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-06-21,0.629,0.666, 1984,06,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-07-01,0.498,0.658, 1984,07,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-07-11,0.401,0.656, 1984,07,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-07-21,0.374,0.659, 1984,07,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-08-01,0.397,0.637, 1984,08,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-08-11,0.407,0.628, 1984,08,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-08-21,0.456,0.631, 1984,08,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-09-01,0.497,0.627, 1984,09,1, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-09-11,0.529,0.617, 1984,09,2, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-09-21,0.499,0.596, 1984,09,3, ,METOP
Normalized Difference Vegetation Index (NDVI),Kenya,51325,Central,Crop Area,1984-10-01,0.446,0.576, 1984,10,1, ,METOP
