Temperature,Year,Month,Country,ISO3
24.97,1950,Jan,Kenya,KEN
25.87,1950,Feb,Kenya,KEN
24.33,1950,Mar,Kenya,KEN
22.91,1950,Apr,Kenya,KEN
22.32,1950,May,Kenya,KEN
22.57,1950,Jun,Kenya,KEN
22.19,1950,Jul,Kenya,KEN
22.2,1950,Aug,Kenya,KEN
23.24,1950,Sep,Kenya,KEN
24.04,1950,Oct,Kenya,KEN
23.16,1950,Nov,Kenya,KEN
23.8,1950,Dec,Kenya,KEN
25.19,1951,Jan,Kenya,KEN
24.95,1951,Feb,Kenya,KEN
24.6,1951,Mar,Kenya,KEN
22.77,1951,Apr,Kenya,KEN
22.72,1951,May,Kenya,KEN
22.76,1951,Jun,Kenya,KEN
22.63,1951,Jul,Kenya,KEN
22.91,1951,Aug,Kenya,KEN
24.36,1951,Sep,Kenya,KEN
24.01,1951,Oct,Kenya,KEN
22.72,1951,Nov,Kenya,KEN
22.09,1951,Dec,Kenya,KEN
23.93,1952,Jan,Kenya,KEN
24.21,1952,Feb,Kenya,KEN
24.73,1952,Mar,Kenya,KEN
23.5,1952,Apr,Kenya,KEN
23.05,1952,May,Kenya,KEN
22.6,1952,Jun,Kenya,KEN
22.59,1952,Jul,Kenya,KEN
22.8,1952,Aug,Kenya,KEN
24.09,1952,Sep,Kenya,KEN
24.42,1952,Oct,Kenya,KEN
22.85,1952,Nov,Kenya,KEN
22.92,1952,Dec,Kenya,KEN
23.33,1953,Jan,Kenya,KEN
23.81,1953,Feb,Kenya,KEN
23.4,1953,Mar,Kenya,KEN
23.07,1953,Apr,Kenya,KEN
22.57,1953,May,Kenya,KEN
22.59,1953,Jun,Kenya,KEN
22.28,1953,Jul,Kenya,KEN
22.69,1953,Aug,Kenya,KEN
23.74,1953,Sep,Kenya,KEN
24.1,1953,Oct,Kenya,KEN
22.62,1953,Nov,Kenya,KEN
22.41,1953,Dec,Kenya,KEN
24.07,1954,Jan,Kenya,KEN
25.53,1954,Feb,Kenya,KEN
25.89,1954,Mar,Kenya,KEN
23.61,1954,Apr,Kenya,KEN
23.53,1954,May,Kenya,KEN
22.97,1954,Jun,Kenya,KEN
22.62,1954,Jul,Kenya,KEN
22.94,1954,Aug,Kenya,KEN
23.7,1954,Sep,Kenya,KEN
24.44,1954,Oct,Kenya,KEN
24.44,1954,Nov,Kenya,KEN
23.96,1954,Dec,Kenya,KEN
24.54,1955,Jan,Kenya,KEN
25.88,1955,Feb,Kenya,KEN
26.03,1955,Mar,Kenya,KEN
24.49,1955,Apr,Kenya,KEN
23.55,1955,May,Kenya,KEN
23.26,1955,Jun,Kenya,KEN
22.94,1955,Jul,Kenya,KEN
23.16,1955,Aug,Kenya,KEN
23.91,1955,Sep,Kenya,KEN
24.7,1955,Oct,Kenya,KEN
24.77,1955,Nov,Kenya,KEN
24.69,1955,Dec,Kenya,KEN
24.33,1956,Jan,Kenya,KEN
26.04,1956,Feb,Kenya,KEN
26.17,1956,Mar,Kenya,KEN
23.99,1956,Apr,Kenya,KEN
23.66,1956,May,Kenya,KEN
23.31,1956,Jun,Kenya,KEN
22.52,1956,Jul,Kenya,KEN
23.06,1956,Aug,Kenya,KEN
23.86,1956,Sep,Kenya,KEN
24.64,1956,Oct,Kenya,KEN
24.61,1956,Nov,Kenya,KEN
23.64,1956,Dec,Kenya,KEN
24.97,1957,Jan,Kenya,KEN
25.51,1957,Feb,Kenya,KEN
25.34,1957,Mar,Kenya,KEN
23.85,1957,Apr,Kenya,KEN
23.28,1957,May,Kenya,KEN
23.46,1957,Jun,Kenya,KEN
23.18,1957,Jul,Kenya,KEN
