Crop,Predictor,Pearson r,Pearson p-value,Spearman r,Spearman p-value
Avocados,Temperature_anomaly_C,0.39,0.027,0.448,0.01
Avocados,Rainfall_anomaly_pct,-0.139,0.447,-0.033,0.858
Avocados,NDVI_anomaly,0.225,0.216,0.047,0.798
Avocados,Pesticides_tonnes,0.329,0.066,0.493,0.004
Bananas,Temperature_anomaly_C,0.724,0.0,0.726,0.0
Bananas,Rainfall_anomaly_pct,-0.065,0.722,0.024,0.895
Bananas,NDVI_anomaly,-0.017,0.928,-0.111,0.545
Bananas,Pesticides_tonnes,0.648,0.0,0.667,0.0
Potatoes,Temperature_anomaly_C,0.298,0.097,0.369,0.038
Potatoes,Rainfall_anomaly_pct,-0.028,0.879,0.063,0.733
Potatoes,NDVI_anomaly,0.074,0.686,-0.022,0.906
Potatoes,Pesticides_tonnes,-0.17,0.353,0.092,0.616
Sugar cane,Temperature_anomaly_C,-0.2,0.272,-0.125,0.495
Sugar cane,Rainfall_anomaly_pct,-0.121,0.509,-0.177,0.333
Sugar cane,NDVI_anomaly,0.331,0.065,0.141,0.442
Sugar cane,Pesticides_tonnes,-0.482,0.005,-0.448,0.01
Tomatoes,Temperature_anomaly_C,0.578,0.001,0.69,0.0
Tomatoes,Rainfall_anomaly_pct,-0.047,0.8,-0.034,0.853
Tomatoes,NDVI_anomaly,0.098,0.595,-0.052,0.777
Tomatoes,Pesticides_tonnes,0.162,0.377,0.365,0.04
